previous_event_end_date,current_event_start_date,interval_days
2016-08-10,2016-08-19,9
2016-08-19,2016-08-29,10
2017-06-25,2017-07-21,26
2017-07-21,2017-08-19,29
2018-06-09,2018-07-21,42
2020-06-06,2020-06-16,10
2020-06-16,2020-07-01,15
2020-07-01,2020-07-05,4
2020-07-05,2020-07-20,15
2020-07-20,2020-07-28,8
2020-07-28,2020-07-30,2
2022-06-01,2022-06-03,2
2022-06-03,2022-06-28,25
2023-07-16,2023-07-19,3
2023-07-19,2023-07-22,3
2023-07-22,2023-08-13,22
2024-06-08,2024-06-28,20
2024-06-28,2024-07-10,12
2024-07-10,2024-07-14,4
2024-07-14,2024-07-17,3
2024-07-17,2024-08-07,21
