start_date,end_date,duration,total_precip,event_type
2015-07-06,2015-07-06,1,11.6,heavy
2016-08-10,2016-08-10,1,11.3,heavy
2016-08-19,2016-08-19,1,12.8,heavy
2016-08-29,2016-08-29,1,15.0,heavy
2017-06-25,2017-06-25,1,11.7,heavy
2017-07-21,2017-07-21,1,16.5,heavy
2017-08-19,2017-08-19,1,12.2,heavy
2018-06-09,2018-06-09,1,10.2,heavy
2018-07-21,2018-07-21,1,17.8,heavy
2019-08-07,2019-08-07,1,11.1,heavy
2020-06-05,2020-06-06,2,29.0,heavy
2020-06-16,2020-06-16,1,11.0,heavy
2020-07-01,2020-07-01,1,13.8,heavy
2020-07-05,2020-07-05,1,13.4,heavy
2020-07-20,2020-07-20,1,15.9,heavy
2020-07-28,2020-07-28,1,19.2,heavy
2020-07-30,2020-07-30,1,15.2,heavy
2021-06-29,2021-06-29,1,11.1,heavy
2022-06-01,2022-06-01,1,10.0,heavy
2022-06-03,2022-06-03,1,11.3,heavy
2022-06-28,2022-06-28,1,15.4,heavy
2023-07-16,2023-07-16,1,10.0,heavy
2023-07-19,2023-07-19,1,11.3,heavy
2023-07-22,2023-07-22,1,10.3,heavy
2023-08-13,2023-08-13,1,16.4,heavy
2024-06-08,2024-06-08,1,10.8,heavy
2024-06-28,2024-06-28,1,14.2,heavy
2024-07-10,2024-07-10,1,15.4,heavy
2024-07-14,2024-07-14,1,12.8,heavy
2024-07-17,2024-07-17,1,13.1,heavy
2024-08-07,2024-08-07,1,13.6,heavy
