start_date,end_date,duration,total_precip,event_type
2015-07-08,2015-07-09,2,36.3,extreme
2015-07-25,2015-07-26,2,42.6,extreme
2016-07-11,2016-07-11,1,28.1,extreme
2017-07-28,2017-07-28,1,20.0,extreme
2017-08-03,2017-08-05,3,165.3,extreme
2018-06-21,2018-06-21,1,30.2,extreme
2018-07-29,2018-07-29,1,38.8,extreme
2019-06-13,2019-06-14,2,56.4,extreme
2019-07-15,2019-07-16,2,34.8,extreme
2021-06-11,2021-06-11,1,25.6,extreme
2021-06-20,2021-06-21,2,35.2,extreme
2021-08-07,2021-08-07,1,34.7,extreme
2021-08-17,2021-08-17,1,91.3,extreme
2021-08-26,2021-08-26,1,27.4,extreme
2022-06-30,2022-07-01,2,60.4,extreme
2023-07-01,2023-07-01,1,51.4,extreme
2023-07-04,2023-07-04,1,27.1,extreme
2023-07-25,2023-07-25,1,42.1,extreme
2023-08-06,2023-08-06,1,56.4,extreme
2023-08-11,2023-08-11,1,20.0,extreme
2023-08-22,2023-08-22,1,30.3,extreme
2023-08-26,2023-08-26,1,32.7,extreme
