start_date,end_date,magnitude_mm
2015-07-08,2015-07-09,36.3
2015-07-25,2015-07-26,42.6
2016-07-11,2016-07-11,28.1
2017-07-28,2017-07-28,20.0
2017-08-03,2017-08-05,165.3
2018-06-21,2018-06-21,30.2
2018-07-29,2018-07-29,38.8
2019-06-13,2019-06-14,56.4
2019-07-15,2019-07-16,34.8
2021-06-11,2021-06-11,25.6
2021-06-20,2021-06-21,35.2
2021-08-07,2021-08-07,34.7
2021-08-17,2021-08-17,91.3
2021-08-26,2021-08-26,27.4
2022-06-30,2022-07-01,60.4
2023-07-01,2023-07-01,51.4
2023-07-04,2023-07-04,27.1
2023-07-25,2023-07-25,42.1
2023-08-06,2023-08-06,56.4
2023-08-11,2023-08-11,20.0
2023-08-22,2023-08-22,30.3
2023-08-26,2023-08-26,32.7
