previous_event_end_date,current_event_start_date,interval_days
2015-07-09,2015-07-25,16
2017-07-28,2017-08-03,6
2018-06-21,2018-07-29,38
2019-06-14,2019-07-15,31
2021-06-11,2021-06-20,9
2021-06-21,2021-08-07,47
2021-08-07,2021-08-17,10
2021-08-17,2021-08-26,9
2023-07-01,2023-07-04,3
2023-07-04,2023-07-25,21
2023-07-25,2023-08-06,12
2023-08-06,2023-08-11,5
2023-08-11,2023-08-22,11
2023-08-22,2023-08-26,4
