date,precip,year,month,season,heavy,extreme
2011-07-23 06:00:01,24.4,2011,7,Summer,True,True
2011-08-07 06:00:01,27.7,2011,8,Summer,True,True
2011-08-20 06:00:01,18.2,2011,8,Summer,True,False
2011-09-05 06:00:01,11.3,2011,9,Autumn,True,False
2011-09-09 06:00:01,14.7,2011,9,Autumn,True,False
2011-09-19 06:00:01,21.6,2011,9,Autumn,True,True
2011-10-02 06:00:01,12.4,2011,10,Autumn,True,False
2011-12-09 06:00:01,10.3,2011,12,Winter,True,False
2011-12-17 06:00:01,11.2,2011,12,Winter,True,False
2011-12-18 06:00:01,10.7,2011,12,Winter,True,False
2012-04-20 06:00:01,21.9,2012,4,Spring,True,True
2012-05-10 06:00:01,17.0,2012,5,Spring,True,False
2012-05-11 06:00:01,13.9,2012,5,Spring,True,False
2012-06-02 06:00:01,30.7,2012,6,Summer,True,True
2012-06-03 06:00:01,18.9,2012,6,Summer,True,False
2012-06-29 06:00:01,22.0,2012,6,Summer,True,True
2012-07-08 06:00:01,24.1,2012,7,Summer,True,True
2012-07-09 06:00:01,23.0,2012,7,Summer,True,True
2012-07-15 06:00:01,10.2,2012,7,Summer,True,False
2012-08-04 06:00:01,13.1,2012,8,Summer,True,False
2012-08-06 06:00:01,15.8,2012,8,Summer,True,False
2012-08-26 06:00:01,15.5,2012,8,Summer,True,False
2012-08-30 06:00:01,13.3,2012,8,Summer,True,False
2012-08-31 06:00:01,18.0,2012,8,Summer,True,False
2012-09-22 06:00:01,22.5,2012,9,Autumn,True,True
2012-09-26 06:00:01,24.8,2012,9,Autumn,True,True
2012-10-15 06:00:01,35.7,2012,10,Autumn,True,True
2012-10-20 06:00:01,16.4,2012,10,Autumn,True,False
2012-10-29 06:00:01,14.3,2012,10,Autumn,True,False
2012-11-29 06:00:01,14.5,2012,11,Autumn,True,False
2012-11-30 06:00:01,31.9,2012,11,Autumn,True,True
2012-12-06 06:00:01,28.0,2012,12,Winter,True,True
2012-12-15 06:00:01,19.1,2012,12,Winter,True,False
2013-01-16 06:00:01,22.3,2013,1,Winter,True,True
2013-05-08 06:00:01,10.9,2013,5,Spring,True,False
2013-06-04 06:00:01,24.8,2013,6,Summer,True,True
2013-07-09 06:00:01,17.7,2013,7,Summer,True,False
2013-07-13 06:00:01,13.6,2013,7,Summer,True,False
2013-08-07 06:00:01,14.5,2013,8,Summer,True,False
2013-08-08 06:00:01,14.9,2013,8,Summer,True,False
2013-08-09 06:00:01,10.5,2013,8,Summer,True,False
2013-08-11 06:00:01,88.9,2013,8,Summer,True,True
2013-08-31 06:00:01,89.7,2013,8,Summer,True,True
2013-09-17 06:00:01,12.8,2013,9,Autumn,True,False
2013-10-22 06:00:01,13.3,2013,10,Autumn,True,False
2013-11-03 06:00:01,13.7,2013,11,Autumn,True,False
2013-12-05 06:00:01,25.0,2013,12,Winter,True,True
2014-05-08 06:00:01,13.4,2014,5,Spring,True,False
2014-05-30 06:00:01,22.3,2014,5,Spring,True,True
2014-07-02 06:00:01,11.0,2014,7,Summer,True,False
2014-07-13 06:00:01,22.4,2014,7,Summer,True,True
2014-08-17 06:00:01,13.5,2014,8,Summer,True,False
2014-09-21 06:00:01,13.5,2014,9,Autumn,True,False
2014-10-07 06:00:01,46.2,2014,10,Autumn,True,True
2014-10-08 06:00:01,18.3,2014,10,Autumn,True,False
2014-10-09 06:00:01,12.9,2014,10,Autumn,True,False
2014-10-10 06:00:01,12.0,2014,10,Autumn,True,False
2014-10-12 06:00:01,14.0,2014,10,Autumn,True,False
2014-10-13 06:00:01,11.9,2014,10,Autumn,True,False
2014-10-18 06:00:01,11.6,2014,10,Autumn,True,False
2014-10-21 06:00:01,12.5,2014,10,Autumn,True,False
2014-12-22 06:00:01,11.7,2014,12,Winter,True,False
2015-01-10 06:00:01,38.5,2015,1,Winter,True,True
2015-01-12 06:00:01,15.4,2015,1,Winter,True,False
2015-01-31 06:00:01,49.7,2015,1,Winter,True,True
2015-05-30 06:00:01,27.0,2015,5,Spring,True,True
2015-07-06 06:00:01,11.6,2015,7,Summer,True,False
2015-07-08 06:00:01,21.5,2015,7,Summer,True,True
2015-07-09 06:00:01,14.8,2015,7,Summer,True,False
2015-07-25 06:00:01,21.6,2015,7,Summer,True,True
2015-07-26 06:00:01,21.0,2015,7,Summer,True,True
2015-09-02 06:00:01,26.0,2015,9,Autumn,True,True
2015-09-17 06:00:01,18.6,2015,9,Autumn,True,False
2015-12-04 06:00:01,13.0,2015,12,Winter,True,False
2016-01-11 06:00:01,39.8,2016,1,Winter,True,True
2016-02-10 06:00:01,12.3,2016,2,Winter,True,False
2016-04-06 06:00:01,12.5,2016,4,Spring,True,False
2016-05-24 06:00:01,13.3,2016,5,Spring,True,False
2016-05-25 06:00:01,19.1,2016,5,Spring,True,False
2016-05-26 06:00:01,44.3,2016,5,Spring,True,True
2016-05-27 06:00:01,13.4,2016,5,Spring,True,False
2016-07-11 06:00:01,28.1,2016,7,Summer,True,True
2016-08-10 06:00:01,11.3,2016,8,Summer,True,False
2016-08-19 06:00:01,12.8,2016,8,Summer,True,False
2016-08-29 06:00:01,15.0,2016,8,Summer,True,False
2016-11-01 06:00:01,12.0,2016,11,Autumn,True,False
2016-11-08 06:00:01,10.7,2016,11,Autumn,True,False
2016-11-09 06:00:01,13.5,2016,11,Autumn,True,False
2017-03-07 06:00:01,11.3,2017,3,Spring,True,False
2017-04-24 06:00:01,28.3,2017,4,Spring,True,True
2017-04-25 06:00:01,25.0,2017,4,Spring,True,True
2017-05-30 06:00:01,12.4,2017,5,Spring,True,False
2017-06-25 06:00:01,11.7,2017,6,Summer,True,False
2017-07-21 06:00:01,16.5,2017,7,Summer,True,False
2017-07-28 06:00:01,20.0,2017,7,Summer,True,False
2017-08-03 06:00:01,12.7,2017,8,Summer,True,False
2017-08-04 06:00:01,130.3,2017,8,Summer,True,True
2017-08-05 06:00:01,22.3,2017,8,Summer,True,True
2017-08-19 06:00:01,12.2,2017,8,Summer,True,False
2017-09-09 06:00:01,24.5,2017,9,Autumn,True,True
2017-10-08 06:00:01,13.8,2017,10,Autumn,True,False
2017-10-09 06:00:01,21.8,2017,10,Autumn,True,True
2017-10-12 06:00:01,39.2,2017,10,Autumn,True,True
2017-10-25 06:00:01,16.1,2017,10,Autumn,True,False
2017-11-22 06:00:01,29.7,2017,11,Autumn,True,True
2017-11-28 06:00:01,35.5,2017,11,Autumn,True,True
2017-11-29 06:00:01,17.0,2017,11,Autumn,True,False
2017-12-11 06:00:01,10.1,2017,12,Winter,True,False
2017-12-14 06:00:01,11.0,2017,12,Winter,True,False
2017-12-15 06:00:01,10.4,2017,12,Winter,True,False
2017-12-26 06:00:01,18.3,2017,12,Winter,True,False
2017-12-28 06:00:01,17.0,2017,12,Winter,True,False
2018-01-04 06:00:01,19.7,2018,1,Winter,True,False
2018-01-16 06:00:01,12.0,2018,1,Winter,True,False
2018-01-17 06:00:01,15.2,2018,1,Winter,True,False
2018-01-31 06:00:01,33.4,2018,1,Winter,True,True
2018-02-01 06:00:01,39.8,2018,2,Winter,True,True
2018-02-12 06:00:01,10.5,2018,2,Winter,True,False
2018-03-12 06:00:01,17.8,2018,3,Spring,True,False
2018-05-01 06:00:01,11.5,2018,5,Spring,True,False
2018-06-09 06:00:01,10.2,2018,6,Summer,True,False
2018-06-21 06:00:01,30.2,2018,6,Summer,True,True
2018-07-21 06:00:01,17.8,2018,7,Summer,True,False
2018-07-29 06:00:01,38.8,2018,7,Summer,True,True
2018-09-06 06:00:01,16.5,2018,9,Autumn,True,False
2018-10-27 06:00:01,12.3,2018,10,Autumn,True,False
2018-10-30 06:00:01,43.0,2018,10,Autumn,True,True
2018-12-03 06:00:01,12.7,2018,12,Winter,True,False
2019-01-08 06:00:01,12.2,2019,1,Winter,True,False
2019-01-16 06:00:01,16.4,2019,1,Winter,True,False
2019-01-28 06:00:01,15.6,2019,1,Winter,True,False
2019-02-01 06:00:01,25.6,2019,2,Winter,True,True
2019-02-02 06:00:01,19.6,2019,2,Winter,True,False
2019-03-07 06:00:01,10.9,2019,3,Spring,True,False
2019-03-13 06:00:01,17.2,2019,3,Spring,True,False
2019-03-17 06:00:01,23.3,2019,3,Spring,True,True
2019-05-24 06:00:01,14.0,2019,5,Spring,True,False
2019-05-25 06:00:01,18.7,2019,5,Spring,True,False
2019-06-13 06:00:01,45.8,2019,6,Summer,True,True
2019-06-14 06:00:01,10.6,2019,6,Summer,True,False
2019-07-15 06:00:01,11.9,2019,7,Summer,True,False
2019-07-16 06:00:01,22.9,2019,7,Summer,True,True
2019-08-07 06:00:01,11.1,2019,8,Summer,True,False
2019-09-01 06:00:01,14.5,2019,9,Autumn,True,False
