start_date,end_date,magnitude_mm
2006-07-27,2006-07-27,10.4
2006-08-13,2006-08-14,36.3
2007-06-14,2007-06-14,10.6
2007-07-04,2007-07-04,11.5
2007-07-27,2007-07-27,10.3
2007-08-27,2007-08-27,10.2
2008-06-14,2008-06-14,11.3
2008-08-12,2008-08-12,14.1
2009-06-04,2009-06-04,11.3
2009-07-16,2009-07-16,16.5
2009-07-23,2009-07-23,18.3
2009-08-15,2009-08-15,13.0
2009-08-26,2009-08-26,13.5
2010-07-04,2010-07-04,12.1
2010-07-24,2010-07-25,29.0
2010-08-08,2010-08-08,16.1
2011-06-13,2011-06-13,13.6
2011-06-17,2011-06-17,12.8
2011-07-10,2011-07-10,13.0
2011-07-15,2011-07-15,16.9
2011-07-18,2011-07-18,10.4
2011-08-20,2011-08-20,18.2
2012-07-15,2012-07-15,10.2
2012-08-04,2012-08-04,13.1
2012-08-06,2012-08-06,15.8
2012-08-26,2012-08-26,15.5
2012-08-30,2012-08-31,31.3
2013-07-09,2013-07-09,17.7
2013-07-13,2013-07-13,13.6
2013-08-07,2013-08-09,39.9
2014-07-02,2014-07-02,11.0
2014-08-17,2014-08-17,13.5
