previous_event_end_date,current_event_start_date,interval_days
2008-07-11,2008-08-02,22
2008-08-04,2008-08-17,13
2009-06-14,2009-07-09,25
2009-07-09,2009-07-12,3
2009-07-12,2009-08-21,40
2010-06-12,2010-08-24,73
2011-07-23,2011-08-07,15
2012-06-03,2012-06-29,26
2012-06-29,2012-07-08,9
2013-06-04,2013-08-11,68
2013-08-11,2013-08-31,20
